word,article,plural,translation,example sentence normal,example sentence plural
Lampe,die,-n,lamp,"Die Lampe steht auf dem Tisch. (The lamp is on the table.)","Die Lampen im Wohnzimmer sind modern. (The lamps in the living room are modern.)"
Land,das,-er,country,"Deutschland ist ein schönes Land. (Germany is a beautiful country.)","Die Länder Europas haben reiche Geschichte. (The countries of Europe have rich history.)"
Landschaft,die,-en,landscape,"Die Landschaft in den Alpen ist atemberaubend. (The landscape in the Alps is breathtaking.)","Die Landschaften in Afrika sind vielfältig. (The landscapes in Africa are diverse.)"
lang,–,–,long,"Der Fluss ist sehr lang. (The river is very long.)",
langsam,–,–,slow,"Der Zug fährt langsam. (The train is going slowly.)",
langweilig,–,–,boring,"Der Film war langweilig. (The movie was boring.)",
laufen,–,–,to run/walk,"Ich laufe jeden Morgen im Park. (I run in the park every morning.)",
laut,–,–,loud,"Die Musik ist zu laut. (The music is too loud.)",
Leben,das,–,life,"Das Leben ist schön. (Life is beautiful.)",
leben,–,–,to live,"Ich lebe in Berlin. (I live in Berlin.)",
lebendig,–,–,"alive, lively","Der Markt war lebendig. (The market was lively.)",
Lebensmittel,das,–,food,"Frisches Obst gehört zu den Lebensmitteln. (Fresh fruit is part of the food.)",
Kopfschmerzen,die,–,headache,"Ich habe Kopfschmerzen. (I have a headache.)",
Körper,der,–,body,"Der Körper braucht Bewegung. (The body needs exercise.)",
Körperteil,der,-e,body part,"Der Arm ist ein Körperteil. (The arm is a body part.)","Die Körperteile müssen benannt werden. (The body parts must be named.)"
korrigieren,–,–,to correct,"Bitte korrigiere meine Fehler. (Please correct my mistakes.)",
lecker,–,–,delicious,"Das Essen ist lecker. (The food is delicious.)",
Kosmetik,die,–,cosmetics,"Ich kaufe neue Kosmetik. (I’m buying new cosmetics.)",
Kosten,die,–,costs,"Die Kosten sind gestiegen. (The costs have increased.)",
leer,–,–,empty,"Der Raum ist leer. (The room is empty.)",
kosten,–,–,to cost,"Wie viel kostet das? (How much does that cost?)",
Lieblingsfarbe,die,-n,favorite color,"Meine Lieblingsfarbe ist Blau. (My favorite color is blue.)","Die Lieblingsfarben der Kinder sind bunt. (The children’s favorite colors are colorful.)"
Lieblingsort,der,-e,favorite place,"Mein Lieblingsort ist der Strand. (My favorite place is the beach.)","Die Lieblingsorte der Touristen sind vielfältig. (The tourists’ favorite places are varied.)"
Lieblingszimmer,das,–,favorite room,"Mein Lieblingszimmer ist das Wohnzimmer. (My favorite room is the living room.)",
liegen,–,–,to lie (position),"Das Buch liegt auf dem Tisch. (The book lies on the table.)",
Limonade,die,-n,lemonade,"Ich trinke gerne Limonade. (I like drinking lemonade.)","Die Limonaden sind eisgekühlt. (The lemonades are ice-cold.)"
links,–,–,left,"Bieg links ab. (Turn left.)",
Liste,die,-n,list,"Ich habe eine Liste geschrieben. (I wrote a list.)","Die Listen sind alphabetisch geordnet. (The lists are alphabetically ordered.)"
Liter,der,–,liter,"Ein Liter Milch kostet einen Euro. (A liter of milk costs one euro.)","Die Liter im Fass sind abgemessen. (The liters in the barrel are measured.)"
Löffel,der,–,spoon,"Nimm einen Löffel Suppe. (Take a spoonful of soup.)","Die Löffel liegen im Besteckfach. (The spoons lie in the cutlery compartment.)"
Loft,das,-s,loft,"Ich wohne in einem Loft. (I live in a loft.)","Die Lofts in der Stadt sind modern. (The lofts in the city are modern.)"
Lokal,das,-e,local (restaurant/bar),"Wir gehen ins Lokal um die Ecke. (We go to the local around the corner.)","Die Lokale in der Altstadt sind beliebt. (The locals in the old town are popular.)"
Lösung,die,-en,solution,"Die Lösung des Problems war einfach. (The solution to the problem was simple.)","Die Lösungen stehen im Anhang. (The solutions are in the appendix.)"
Lust,die,–,"desire, wish","Ich habe Lust auf Eis. (I feel like having ice cream.)",
lustig,–,–,funny,"Der Film war sehr lustig. (The movie was very funny.)",
machen,–,–,"to do, make","Was machst du gerade? (What are you doing right now?)",
Mädchen,das,–,girl,"Das Mädchen spielt im Garten. (The girl is playing in the garden.)",
Mahlzeit,die,-en,"meal, lunch","Die Mahlzeit ist um zwölf Uhr. (The meal is at twelve o’clock.)","Die Mahlzeiten im Hotel sind vielfältig. (The meals at the hotel are varied.)"
Mai,der,–,May,"Im Mai blühen die Blumen. (In May, the flowers bloom.)",
Mail,die,-s,email,"Ich schreibe dir eine Mail. (I’m writing you an email.)","Die Mails sind im Posteingang. (The emails are in the inbox.)"
Mal,das,-e,time (event),"Das ist das erste Mal. (That is the first time.)","Die Male, die wir waren, waren schön. (The times we went were nice.)"
malen,–,–,to paint,"Ich male ein Bild. (I’m painting a picture.)",
Mann,der,-er,man,"Der Mann liest die Zeitung. (The man is reading the newspaper.)","Die Männer tragen Anzüge. (The men are wearing suits.)"
männlich,–,–,masculine,"Das Wort ‚Vater‘ ist männlich. (The word ‘Vater’ is masculine.)",
Mantel,der,Mäntel,coat,Der Mantel ist warm und weich. (The coat is warm and soft.),Die Mäntel hängen im Flur. (The coats are hanging in the hallway.)
Marathon,der,-s,marathon,"Ich nehme am nächsten Marathon teil. (I’m participating in the next marathon.)",
markieren,–,–,to mark,"Bitte markiere alle wichtigen Stellen im Text. (Please mark all important parts in the text.)",
Markt,der,Märkte,market,"Der Markt ist heute sehr voll. (The market is very full today.)","Die Märkte bieten viele regionale Produkte. (The markets offer many regional products.)"
Marmelade,die,Marmeladen,jam,"Ich esse gern Erdbeermarmelade. (I like eating strawberry jam.)","Die Marmeladen stehen im Regal. (The jams are on the shelf.)"
März,der,–,March,"Im März wird das Wetter wärmer. (In March, the weather gets warmer.)",
maskulin,–,–,masculine,"Das Wort ‚Tisch‘ ist maskulin. (The word ‘Tisch’ is masculine.)",
Maß,das,Maße,measure,"Das Maß ist nicht korrekt. (The measurement is not correct.)","Die Maße müssen genau sein. (The measurements must be precise.)"
Mathe-Test,der,-s,math test,"Der Mathe-Test war schwierig. (The math test was difficult.)",
Maus,die,Mäuse,mouse,"Die Maus ist grau. (The mouse is gray.)","Die Mäuse laufen durch das Feld. (The mice run through the field.)"
maximal,–,–,maximum,"Maximal zehn Personen dürfen teilnehmen. (A maximum of ten people may participate.)",
Mechaniker,der,–,mechanic,"Der Mechaniker repariert das Auto. (The mechanic repairs the car.)","Die Mechaniker arbeiten in der Werkstatt. (The mechanics work in the garage.)"
Mechanikerin,die,-nen,female mechanic,"Die Mechanikerin arbeitet sehr genau. (The female mechanic works very precisely.)","Die Mechanikerinnen überprüfen die Motoren. (The female mechanics check the engines.)"
Medien,die,–,media,"Die Medien berichten täglich über neue Ereignisse. (The media report on new events daily.)",
Medikament,das,Medikamente,medicine,"Er nimmt das Medikament dreimal täglich. (He takes the medicine three times daily.)","Die Medikamente sind in der Apotheke erhältlich. (The medicines are available at the pharmacy.)"
Meer,das,Meere,sea,"Das Meer ist heute ruhig und blau. (The sea is calm and blue today.)","Die Meere sind verschmutzt. (The seas are polluted.)"
mehr,–,–,more,"Ich brauche mehr Zeit. (I need more time.)",
mehrere,–,–,several,"Mehrere Studenten haben die Prüfung bestanden. (Several students passed the exam.)",
mein, meine,–,my,"Mein Handy ist hier. (My phone is here.)",
meinen,–,–,my (accusative),"Ich rufe meinen Bruder an. (I’m calling my brother.)",
meistens,–,–,mostly,"Meistens esse ich abends nur eine Kleinigkeit. (Mostly I eat just a little something in the evening.)",
melden (sich),–,–,to report (oneself),"Bitte melde dich bis Freitag. (Please report by Friday.)",
Mensa,die,Mensen,cafeteria,"Die Mensa an der Uni ist heute sehr voll. (The cafeteria at the university is very crowded today.)","Die Mensen haben oft lange Schlangen. (The cafeterias often have long lines.)"
Mensch,der,Menschen,person,"Der Mensch braucht Wasser zum Leben. (A person needs water to live.)","Die Menschen feiern das Fest gemeinsam. (The people celebrate the festival together.)"
merken,–,–,to notice,"Ich merke den Unterschied sofort. (I notice the difference immediately.)",
Messer,das,Messer,knife,"Das Messer ist sehr scharf. (The knife is very sharp.)","Die Messer liegen neben dem Brett. (The knives lie next to the board.)"
Meter,der,Meter,meter,"Der Raum ist drei Meter lang. (The room is three meters long.)",
Methode,die,Methoden,method,"Die Methode funktioniert sehr gut. (The method works very well.)","Die Methoden der Wissenschaft entwickeln sich weiter. (The methods of science continue to develop.)"
Metzgerei,die,Metzgereien,butcher shop,"Die Metzgerei um die Ecke hat gute Wurst. (The butcher shop around the corner has good sausage.)","In den Metzgereien gibt es frisches Fleisch. (In the butcher shops there is fresh meat.)"
Mexiko,–,–,Mexico,"Mexiko ist ein Land in Nordamerika. (Mexico is a country in North America.)",
mich,–,–,me (accusative),"Kannst du mich hören? (Can you hear me?)",
Miete,die,Mieten,rent,"Die Miete für die Wohnung ist hoch. (The rent for the apartment is high.)","Die Mieten in der Stadt steigen. (The rents in the city are rising.)"
Milch,die,–,milk,"Ich trinke jeden Morgen Milch. (I drink milk every morning.)",
Milliarde,die,Milliarden,billion,"Eine Milliarde Menschen leben in Armut. (A billion people live in poverty.)","Die Milliarden generieren jährlich Gewinne. (The billions generate profits each year.)"
Million,die,Millionen,million,"Er spendete eine Million Euro. (He donated one million euros.)","Die Millionen werden nach und nach ausgezahlt. (The millions are paid out gradually.)"
mindestens,–,–,at least,"Ich brauche mindestens drei Tage. (I need at least three days.)",
Mindmap,die,-s,mind map,"Ich erstelle eine Mindmap für das Projekt. (I’m creating a mind map for the project.)",
minus,–,–,minus,"Fünf minus zwei ist drei. (Five minus two is three.)",
Minute,die,Minuten,minute,"Eine Minute dauert sechzig Sekunden. (A minute lasts sixty seconds.)","Die Minuten bis zum Start vergehen langsam. (The minutes until the start pass slowly.)"
mir,–,–,me (dative),"Mir geht es heute besser als gestern. (I feel better today than yesterday.)","Mir fallen viele Ideen ein. (Many ideas occur to me.)"
mischen,–,–,to mix,"Mische die Farben gut. (Mix the colors well.)",
Missfallen,das,–,displeasure,"Zu meinem Missfallen hat er sich verspätet. (To my displeasure he was late.)",
Mist,der,–,mist,"Der Mist liegt auf dem Feld. (The manure lies on the field.)",
Mistwetter,das,–,bad weather,"Bei diesem Mistwetter bleibe ich drinnen. (In this bad weather I stay inside.)",
mit,–,–,with,"Ich gehe mit dir. (I’ll go with you.)",
Mitarbeiter,der,–,employee,"Der Mitarbeiter hilft mir bei der Bestellung. (The employee helps me with the order.)","Die Mitarbeiter sind sehr engagiert. (The employees are very committed.)"
Mitarbeiterin,die,-nen,female employee,"Die Mitarbeiterin erklärt den Ablauf. (The female employee explains the procedure.)","Die Mitarbeiterinnen organisieren das Event. (The female employees organize the event.)"
mitbringen,–,–,to bring with,"Kannst du bitte Kuchen mitbringen? (Can you bring cake, please?)",
Mitglied,das,Mitglieder,member,"Ich bin Mitglied im Verein. (I am a member of the club.)","Die Mitglieder treffen sich monatlich. (The members meet monthly.)"
mitkommen,–,–,to come with,"Willst du mitkommen? (Do you want to come with me?)",
mitlesen,–,–,to read along,"Kann ich mitlesen? (Can I read along?)",
mitmachen,–,–,to participate,"Möchtest du mitmachen? (Would you like to participate?)",
mitnehmen,–,–,to take with,"Ich nehme meinen Rucksack mit. (I take my backpack with me.)",
mitsprechen,–,–,to speak along,"Bitte sprecht nach und sprecht mit. (Please repeat and speak along.)",
Mittag,der,Mittage,midday,"Der Mittag ist Essenszeit. (Midday is mealtime.)","Die Mittage im Büro sind hektisch. (The middays in the office are hectic.)"
Mittagessen,das,–,lunch,"Wir haben heute Curry zum Mittagessen. (We have curry for lunch today.)",
mittags,–,–,at noon,"Ich esse mittags im Büro. (I eat at noon in the office.)",
Mittagspause,die,-n,lunch break,"Die Mittagspause dauert eine Stunde. (The lunch break lasts one hour.)",
Mitte,die,–,middle,"Die Mitte des Tisches ist frei. (The middle of the table is free.)",
Mittwoch,der,-e,Wednesday,"Am Mittwoch habe ich eine Besprechung. (I have a meeting on Wednesday.)",
Möbel,die,–,furniture,"Die Möbel stehen noch im Lager. (The furniture is still in storage.)",
möchten,–,–,to want,"Ich möchte ein Glas Wasser. (I’d like a glass of water.)",
Modalverb,das,-en,modal verb,"Ein Modalverb verändert die Bedeutung des Satzes. (A modal verb changes the meaning of the sentence.)",
Mode,die,-n,fashion,"Die Mode dieses Jahres ist sehr bunt. (This year’s fashion is very colorful.)","Die Moden ändern sich schnell. (The fashions change quickly.)"
Modedesigner,der,–,fashion designer,"Der Modedesigner zeigt seine neue Kollektion. (The fashion designer shows his new collection.)",
Modedesignerin,die,-nen,female fashion designer,"Die Modedesignerin entwirft schöne Kleider. (The female fashion designer designs beautiful dresses.)","Die Modedesignerinnen prägen die Trends. (The female fashion designers shape the trends.)"
Modefan,der,-s,fashion fan,"Der Modefan kennt alle Trends. (The fashion fan knows all the trends.)",
Modell,das,-e,model,"Das Modell trägt ein rotes Kleid. (The model wears a red dress.)","Die Modelle in der Show waren beeindruckend. (The models in the show were impressive.)"
Modeschule,die,-n,fashion school,"Ich studiere an einer Modeschule. (I study at a fashion school.)",
mögen,–,–,to like,"Ich mag Schokolade. (I like chocolate.)",
Möglichkeit,die,-en,possibility,"Es gibt viele Möglichkeiten. (There are many possibilities.)","Die Möglichkeiten im Studium sind vielfältig. (The possibilities in the degree program are varied.)"
moin,–,–,hello (Northern Germany),"„Moin!“ sagt man im Norden Deutschlands. (“Hello!” is what people say in Northern Germany.)",
Moment,der,-e,moment,"Einen Moment bitte. (One moment please.)","Die Momente mit Freunden sind kostbar. (The moments with friends are precious.)"
Monat,der,-e,month,"Der Monat Mai ist oft sonnig. (The month of May is often sunny.)","Die Monate des Jahres haben unterschiedliche Längen. (The months of the year have different lengths.)"
Montag,der,-e,Monday,"Am Montag beginnt die Woche. (The week starts on Monday.)",
morgen,–,–,tomorrow,"Morgen fahre ich nach München. (Tomorrow I’m going to Munich.)",
Morgen,der,-e,morning,"Der Morgen war sehr ruhig. (The morning was very quiet.)","Die Morgen im Frühling sind frisch. (The mornings in spring are fresh.)"
morgens,–,–,in the morning,"Ich jogge morgens im Park. (I jog in the park in the mornings.)",
Motorrad,das,-er,motorcycle,"Das Motorrad fährt sehr schnell. (The motorcycle goes very fast.)","Die Motorräder in der Stadt sind laut. (The motorcycles in the city are loud.)"
müde,–,–,tired,"Ich bin müde nach der Arbeit. (I am tired after work.)",
Mund,der,Münder,mouth,"Mein Mund ist trocken. (My mouth is dry.)","Die Münder der Lehrenden sind laut. (The mouths of the teachers are loud.)"
Museum,das,Museen,museum,"Wir besuchen heute ein Museum. (We’re visiting a museum today.)","Die Museen bieten kostenlose Führungen an. (The museums offer free tours.)"
Musik,die,–,music,"Die Musik ist zu laut. (The music is too loud.)",
Musikgruppe,die,-n,music group,"Die Musikgruppe spielt auf dem Festival. (The music group plays at the festival.)","Die Musikgruppen treten oft im Park auf. (The music groups often perform in the park.)"
Musikproduktion,die,-en,music production,"Die Musikproduktion ist im Studio abgeschlossen. (The music production is completed in the studio.)",
Musikschule,die,-n,music school,"Die Musikschule bietet Klavierunterricht an. (The music school offers piano lessons.)","Die Musikschulen haben lange Wartelisten. (The music schools have long waiting lists.)"
Müsli,das,-s,muesli,"Ich esse jeden Morgen Müsli. (I eat muesli every morning.)",
müssen,–,–,must,"Ich muss heute Überstunden machen. (I must work overtime today.)",
Mutter,die,Mütter,mother,"Meine Mutter backt einen Kuchen. (My mother is baking a cake.)","Die Mütter organisieren das Fest. (The mothers organize the party.)"
Muttersprache,die,-n,mother tongue,"Deutsch ist meine Muttersprache. (German is my mother tongue.)",
Mütze,die,-n,hat,"Zieh deine Mütze auf! (Put your hat on!)","Die Mützen sind warm und bequem. (The hats are warm and comfortable.)"
nach,–,–,after,"Nach dem Feierabend gehe ich spazieren. (After the end of the workday, I go for a walk.)",
Nachbar,der,Nachbarn,neighbor,"Der Nachbar hilft mir mit dem Fahrrad. (The neighbor helps me with the bike.)","Die Nachbarn haben gestern gefeiert. (The neighbors celebrated yesterday.)"
Nachbarin,die,-nen,female neighbor,"Die Nachbarin bringt Kuchen vorbei. (The female neighbor brings by some cake.)","Die Nachbarinnen tauschen Rezepte aus. (The female neighbors exchange recipes.)"
nachfragen,–,–,to inquire,"Ich muss noch einmal nachfragen. (I have to inquire again.)",
Nachmittag,der,-e,afternoon,"Am Nachmittag gehe ich spazieren. (In the afternoon, I go for a walk.)",
nachmittags,–,–,in the afternoon,"Nachmittags besuche ich meine Oma. (In the afternoons I visit my grandma.)",
Nachname,der,-n,last name,"Mein Nachname ist Schmidt. (My last name is Schmidt.)",
Nachricht,die,-en,message,"Die Nachricht ist sehr positiv. (The message is very positive.)","Die Nachrichten am Morgen sind kurz. (The messages in the morning are brief.)"
Nachrichten,die,–,news,"Die Nachrichten kommen um 20 Uhr. (The news comes on at 8 p.m.)",
nachsprechen,–,–,to repeat,"Bitte sprich den Satz nach. (Please repeat the sentence.)",
nächste,–,–,next,"Der nächste Bus kommt in zehn Minuten. (The next bus comes in ten minutes.)",
Nacht,die,Nächte,night,"Ich arbeite nachts. (I work at night.)","Die Nächte im Sommer sind kurz. (The nights in summer are short.)"
Nachteil,der,-e,disadvantage,"Ein Nachteil dieser Methode ist der Zeitaufwand. (A disadvantage of this method is the time investment.)","Die Nachteile wurden diskutiert. (The disadvantages were discussed.)"
nachts,–,–,at night,"Nachts schlafe ich tief und fest. (At night I sleep deeply.)",
Nähe,die,–,vicinity,"In der Nähe gibt es einen Park. (There is a park nearby.)",
Name,der,-n,name,"Mein Name ist Anna. (My name is Anna.)","Die Namen standen auf der Liste. (The names were on the list.)"
Nase,die,-n,nose,"Meine Nase läuft. (My nose is running.)","Die Nasen sind unterschiedlich groß. (The noses are of different sizes.)"
Natur,die,–,nature,"Die Natur in den Bergen ist beeindruckend. (The nature in the mountains is impressive.)",
natürlich,–,–,natural,"Das ist natürlich. (That is natural.)",
neben,–,–,next to,"Der Stuhl steht neben dem Tisch. (The chair is next to the table.)",
Negationsartikel,der,–,negation article,"Der Negationsartikel steht vor dem Substantiv. (The negation article stands before the noun.)",
negativ,–,–,negative,"Die Ergebnisse waren negativ. (The results were negative.)",
nehmen,–,–,to take,"Nimm bitte Platz. (Please take a seat.)",
nein,–,–,no,"Nein, ich habe keine Zeit. (No, I don’t have time.)",
Nelke,die,-n,carnation,"Die Nelke duftet sehr angenehm. (The carnation smells very pleasant.)","Die Nelken stehen in der Vase. (The carnations are in the vase.)"
nennen,–,–,to name,"Nenn mir drei Beispiele. (Name three examples for me.)",
nerven,–,–,to annoy,"Das dauernde Klingeln nervt mich. (The constant ringing annoys me.)",
nett,–,–,nice,"Du bist sehr nett. (You are very nice.)",
Netz,das,–,network,"Das Netz ist stabil und sicher. (The network is stable and secure.)",
neu,–,–,new,"Ich habe ein neues Handy. (I have a new phone.)",
neun,–,–,nine,"Neun Schüler fehlen heute. (Nine students are absent today.)",
neunzehn,–,–,nineteen,"Er ist neunzehn Jahre alt. (He is nineteen years old.)",
neunzig,–,–,ninety,"Neunzig Minuten dauert ein Fußballspiel. (A soccer game lasts ninety minutes.)",
neutral,–,–,neutral,"Die Farbe ist neutral. (The color is neutral.)",
neutrum,–,–,neuter,"Das Substantiv ‚Mädchen‘ ist Neutrum. (The noun ‘Mädchen’ is neuter.)",
nicht,–,–,not,"Ich habe nicht genug Zeit. (I don’t have enough time.)",
nicht mehr,–,–,no longer,"Ich wohne nicht mehr hier. (I no longer live here.)",
nicht nur,–,–,not only,"Nicht nur du bist eingeladen. (Not only you are invited.)",
nichts,–,–,nothing,"Ich sehe nichts. (I see nothing.)",
nie,–,–,never,"Ich warte nie lange. (I never wait long.)",
noch,–,–,"still, yet","Ich bin noch hier. (I’m still here.)",
noch einmal,–,–,once again,"Lies den Satz noch einmal. (Read the sentence once again.)",
Nomen,das,–,noun,"Das Nomen wird großgeschrieben. (The noun is capitalized.)",
Nominativ,der,-e,nominative case,"Der Nominativ wird bei Subjekten verwendet. (The nominative case is used for subjects.)",
Norden,der,–,north,"Im Norden Deutschlands ist es oft windig. (It is often windy in the north of Germany.)",
normal,–,–,normal,"Das ist normal. (That is normal.)",
normalerweise,-,-,normally,"Normalerweise stehe ich um sieben Uhr auf. (Normally, I get up at seven o’clock.)",
Notarzt,der,-e,emergency doctor,Der Notarzt kam sehr schnell. (The emergency doctor arrived very quickly.),
Notärztin,die,-nen,female emergency doctor,Die Notärztin hat das Kind behandelt. (The female emergency doctor treated the child.),
notieren,-,-,to note,Ich notiere jeden wichtigen Gedanken im Kurs., 
Notiz,die,-en,note,Die Notiz auf meinem Schreibtisch erinnert mich an den Termin.,Die Notizen im Heft sind sehr detailliert.
November,der,-,November,Im November ist es oft kalt., 
Nudel,die,-n,noodle,Die Nudel war al dente und lecker.,Die Nudeln im Restaurant schmeckten hervorragend.
Null,-,-,zero,Die Anzeige zeigt Null Punkte an., 
Nummer,die,-n,number,Er nennt mir bitte seine Nummer.,Die Nummern auf den Tickets sind unterschiedlich.
nummerieren,-,-,to number,Bitte nummeriere die Seiten des Dokuments., 
nur,-,-,only,Ich habe nur fünf Minuten Zeit., 
nur noch,-,-,just still,Es bleiben nur noch zwei Plätze frei., 
oben,-,-,above,Der Vogel sitzt oben auf dem Baum., 
Obst,das,(Sg.),fruit,Ich esse gern frisches Obst., 
oder,-,-,or,Möchtest du Tee oder Kaffee?, 
offen,-,-,open,Das Fenster ist offen., 
offiziell,-,-,official,Die Sitzung ist offiziell beendet., 
offline,-,-,offline,Ich arbeite heute offline., 
öffnen (1),-,-,to open (a file),Öffne bitte die Datei auf deinem Computer., 
öffnen (2),-,-,to open (our bakery on Sunday),Die Bäckerei öffnet sonntags um acht Uhr., 
Öffnungszeiten,die,-,opening hours,Die Öffnungszeiten sind von neun bis achtzehn Uhr., 
oft,-,-,often,Sie kommt oft zu Besuch., 
ohne (+ A.),-,-,without,Er trinkt den Kaffee ohne Zucker., 
passen (2),-,-,to fit (The pants didn’t fit),Die Hose passt mir nicht., 
passend,-,-,fitting,Das Kleid ist perfekt passend., 
passieren,-,-,to happen,Was ist heute Morgen passiert?, 
Passwort,das,-er,password,Mein Passwort ist lang und sicher.,Die Passwörter aller Nutzer müssen geändert werden.
Patient,der,-en,patient,Der Patient wartet auf den Arzt.,Die Patienten im Wartezimmer sind geduldig.
Patientin,die,-nen,female patient,Die Patientin fühlt sich besser.,Die Patientinnen berichten von schnellen Fortschritten.
Pause,die,-n,break,Wir machen jetzt eine kurze Pause.,Die Pausen während des Arbeitstages sind wichtig.
Pech,das,(Sg.),bad luck,Heute habe ich wirklich Pech., 
Pension,die,-en,pension,Wir übernachten in einer gemütlichen Pension.,Die Pensionen in dieser Gegend sind schnell ausgebucht.
perfekt,-,-,perfect,Das Perfekt wird für die Vergangenheit benutzt., 
Perfekt,das,(Sg.),perfect tense,Das Perfekt wird für die Vergangenheit benutzt., 
Person,die,-en,person,Er ist eine sehr sympathische Person.,Die Personen im Kurs sind alle freundlich.
Personalpronomen,das,-,personal pronoun,Das Personalpronomen „ich“ steht im Nominativ., 
persönlich,-,-,personal,Er überreichte mir das Geschenk persönlich., 
Pfeffer,der,-,pepper,Bitte gib mir etwas Pfeffer dazu., 
Pflanze,die,-n,plant,Die Pflanze benötigt täglich Wasser.,Die Pflanzen auf dem Balkon gedeihen gut.
Pflaster,das,-,plaster,Hast du ein Pflaster für mich?, 
Physiotherapeut,der,-en,physiotherapist,Der Physiotherapeut behandelt den Patienten.,Die Physiotherapeuten arbeiten eng mit Ärzten zusammen.
Physiotherapeutin,die,-nen,female physiotherapist,Die Physiotherapeutin hilft nach der Operation.,Die Physiotherapeutinnen sind sehr einfühlsam.
Ohr,das,-en,ear,Mein Ohr tut seit gestern weh.,Die Ohren werden beim Schwimmen manchmal kalt.
okay,-,-,okay,Alles ist okay für das Treffen., 
Physiotherapie,die,-n,physiotherapy,Physiotherapie hilft bei Rückenschmerzen.,Die Physiotherapien in der Klinik sind sehr effektiv.
Oktober,der,(Sg.),October,Im Oktober fallen die Blätter., 
Picknick,das,-s,picnic,Wir machen morgen ein Picknick im Park.,Die Picknicks im Sommer sind immer schön.
Öl,das,-e,oil,Ich brauche etwas Öl für die Pfanne.,Die Öle auf dem Markt sind hochwertig.
Pizza,die,-s/Pizzen,pizza,Die Pizza war lecker.,Die Pizzen beim Italiener sind sehr beliebt.
Olive,die,-n,olive,Ich esse gern Oliven zum Salat.,Die Oliven auf der Platte sind sehr aromatisch.
Oma,die,-s,grandma,Meine Oma backt den besten Kuchen.,Die Omas in unserer Nachbarschaft treffen sich jeden Freitag.
Onkel,der,-,uncle,Mein Onkel wohnt in Berlin., 
online,-,-,online,Ich habe das Seminar online besucht., 
Opa,der,-s,grandpa,Mein Opa erzählt gern Geschichten.,Die Opas spielen oft Karten im Altenheim.
Open-Air-Kino,das,-s,open-air cinema,Im Sommer besuchen wir oft das Open-Air-Kino.,Die Open-Air-Kinos bieten ein besonderes Ambiente.
Oper,die,-n,opera,Wir gehen heute Abend in die Oper.,Die Opern in dieser Stadt sind weltberühmt.
orange,-,-,orange,Die Frucht ist orange und süß., 
Orangensaft,der,-e,orange juice,Ich trinke jeden Morgen Orangensaft.,Die Orangensäfte sind frisch gepresst.
Orchester,das,-,orchestra,Das Orchester spielt wunderschöne Musik., 
Ordinalzahl,die,-en,ordinal number,Die Ordinalzahl „erste“ steht ganz vorne.,Die Ordinalzahlen im Satz sind korrekt gesetzt.
ordnen,-,-,to arrange,Ordne bitte die Dateien alphabetisch., 
orientieren (sich),-,-,to orient (oneself),Im Wald haben wir uns neu orientiert., 
originell,-,-,original,Sein Ansatz ist sehr originell., 
Ort,der,-e,place,Der Ort liegt in den Bergen.,Die Orte auf unserer Reiseroute sind alle sehenswert.
Ortsangabe,die,-n,location indicator,Die Ortsangabe steht im Satzanfang.,Die Ortsangaben in Texten müssen genau sein.
Ortsveränderung,die,-en,change of place,Die Ortsveränderung war notwendig.,Die Ortsveränderungen im Text sind klar markiert.
Osten,der,(Sg.),East,Im Osten geht die Sonne auf., 
Österreich,-,-,Austria,Österreich ist ein deutschsprachiges Land., 
Paar,das,-e,pair,Ich habe ein schönes Paar Socken gekauft.,Die Paare beim Tanz sahen elegant aus.
packen,-,-,to pack,Ich packe meinen Koffer für die Reise., 
Packung,die,-en,package,Die Packung ist versiegelt.,Die Packungen im Supermarkt sind bunt gestaltet.
Paket,das,-e,package,Das Paket ist angekommen.,Die Pakete von gestern sind alle verteilt.
Pantomime,die,(Sg.),pantomime,Die Pantomime beeindruckte das Publikum., 
Papier,das,-e,paper,Bitte gib mir ein Blatt Papier.,Die Papiere auf dem Tisch müssen sortiert werden.
Papiere,die,(Pl.),papers,Die Papiere liegen geordnet im Ordner., 
Parfüm,das,-e/-s,perfume,Ich liebe dieses Parfüm.,Die Parfüme in der Parfümerie duften herrlich.
Parfümerie,die,-n,perfumery,Ich kaufe das Parfüm in der Parfümerie.,Die Parfümerien in der City sind sehr exklusiv.
Park,der,-s,park,Wir treffen uns im Park., 
Partizip,das,-ien,participle,Das Partizip „gegangen“ gehört zu „gehen“. ,Die Partizipien in diesem Text sind korrekt gebildet.
Partner,der,-,partner,Er ist mein Geschäftspartner., 
Partnerin,die,-nen,female partner,Sie ist meine Geschäftspartnerin.,Die Partnerinnen arbeiten sehr gut zusammen.
Party,die,-s,party,Wir feiern heute Abend eine Party.,Die Partys am Wochenende sind immer ausgelassen.
Pass,der,-e,passport,Pass auf, der Boden ist rutschig! (Pay attention, the floor is slippery!), 
passen (1),-,-,to fit (Which photo fits the text?),Welches Foto passt zum Text? , 
Plakat,das,-e,poster,Das Plakat hängt an der Wand., 
Plan,der,-e,plan,Der Plan für das Wochenende steht fest.,Wir haben viele Pläne für unseren Urlaub.
planen,-,-,to plan,Wir planen eine große Feier., 
Platz (1),der,-e,space,Ich brauche mehr Platz im Zimmer.,Die Plätze im Kino sind reserviert.
Platz (2),der,-e,square,Der Platz vor dem Rathaus ist schön.,Die Plätze der Altstadt sind voll mit Menschen.
